text,label,rationale
@user @user Well I doubt they're trying to smash the doors in to change the regulation of cough medicine.,1,"The phrase 'smash the doors in' exaggerates the situation, contrasting with the triviality of changing cough medicine regulations."
Not at all concerning that a man's just been round to fiddle with the boiler and now he's left the carbon monoxide alarm won't stop beeping,1,The phrase 'Not at all concerning' is used ironically to highlight the serious danger of a malfunctioning alarm.
Not telling anyone how I voted in case it doesn't come true #EUref,1,"The phrase 'in case it doesn't come true' ironically suggests doubt about the voting outcome, contrasting with the expectation of certainty."
just wondering how to get my diss down by 1500 words .. such fun,1,The phrase 'such fun' is used ironically to express frustration about the tedious task of reducing word count.
It’s been a blissful 2.5 hours of sleep tonight,1,The phrase 'blissful 2.5 hours' contrasts the positive connotation of 'blissful' with the inadequate amount of sleep.
Falling asleep at your laptop is always fun,1,The phrase 'always fun' is used ironically to highlight the negative experience of falling asleep while working.
Trying to know all this history tonight is gonna kill me,1,The exaggeration 'gonna kill me' contrasts with the mundane task of studying history.
love it when Jonny makes me use earphones to watch something on my phone so he can play fifa,1,The phrase 'love it' is used ironically to express frustration about being forced to use earphones.
Nice to be compared to a brick wall :face_with_tears_of_joy:,1,The phrase 'Nice to be compared' is used ironically to express annoyance at being likened to something unyielding.
@user Blizzard will have to make sure it doesn't exceed the recommended fun level of 10%.,1,The phrase 'recommended fun level of 10%' ironically suggests that the actual fun is excessively low.
if 2020 was a nose it’d be mine :bird:,1,"The phrase 'if 2020 was a nose' humorously exaggerates the unpleasantness of the year, implying a negative experience."
Would anyone like to give me some money? #FinDom,1,The phrase 'give me some money' is used ironically to highlight a financial exploitation context.
Got very excited that my national trust card arrived I am officially a grandma http,1,"The phrase 'very excited' contrasts with the mundane reality of receiving a membership card, implying irony."
Vaccinated this morning. Not sure it's worked - still committed to Apple and no extra autism detected. Bloody science.,1,"The phrase 'no extra autism detected' contrasts the common misconception about vaccines, highlighting irony in the statement."
ITS COMING HOOOOOME,1,The exaggerated phrase 'HOOOOOME' contrasts with the reality of uncertainty in the situation.
i wish i could tap in to the government bank account :face_with_rolling_eyes: :face_with_rolling_eyes: :face_with_rolling_eyes:,1,"The phrase 'wish I could tap in' contrasts with the impracticality of accessing government funds, highlighted by the eye-rolling emoji."
90% of adulthood is just refilling your Brita pitcher.,1,The exaggeration of '90% of adulthood' contrasts the triviality of refilling a pitcher with adult responsibilities.
"I suppose though, we did sign one for the future so, you know, not all gloom and doom...we might be good in 6 years time.",1,"The phrase 'not all gloom and doom' contrasts with the pessimistic outlook, implying skepticism about future improvement."
Where is the Chancellor? Please check the back of your sofas.,1,The phrase 'check the back of your sofas' humorously implies the Chancellor is lost in an absurdly trivial place.
"i have been informed that, as aroace and agender, i have triple visibility and am now visible from space.",1,The phrase 'visible from space' exaggerates the concept of visibility to mock the idea of being recognized.
going to be running on three hours of sleep at work tonight! so excited!!!,1,The exaggerated excitement contrasts with the negative implication of sleep deprivation.
"@user @user @user Does he order 11 at once and drink each one at just over 5 minutes, OR do we have to take into account going to the bar? Either way it’s a disgrace and not what we should be promoting to the kids.",1,"The phrase 'it's a disgrace' contrasts with the triviality of the drinking speed, highlighting exaggerated concern."
i’m now reading 4 books at once what could go wrong :orange_heart:,1,The phrase 'what could go wrong' is used ironically to highlight the chaos of multitasking.
"@user I think lunch was ready at the care home, then it was time for nap and then Countdown.",1,"The phrase 'lunch was ready' contrasts with the mundane activities of a care home, implying boredom."
@user @user Very good. Just need to work on your spelling now :thumbs_up:,1,"The phrase 'Very good' is used ironically to highlight poor spelling, contrasting praise with criticism."
July 1st. Half way point of the year. Well I think we can all agree that 2020 has gone swimmingly so far. Can’t wait for part 2. #murderhornets,1,The phrase 'gone swimmingly' is used ironically to highlight the disastrous events of 2020.
"Got locked out of Twitter for saying it’s embarrassing to be an arsenal fan. That’s not okay, but people can be abusive and racist and nothing?!? Okay! :rolling_on_the_floor_laughing: :face_with_rolling_eyes:",1,"The phrase 'That’s not okay' contrasts with the absurdity of abusive behavior being tolerated, highlighting hypocrisy."
I just absolutely LOVE how I've got to work outside for the next 3 days in the heatwave. #sweatingmyballsoff,1,The phrase 'I just absolutely LOVE' is used ironically to express frustration about working in extreme heat.
@user Defrost the freezer with the cast of Hollyoaks. Any of them that wanted an extra fun trip could pop to the recycling centre with some empty pesto jars. Magic.,1,"The phrase 'defrost the freezer with the cast of Hollyoaks' humorously exaggerates a mundane task, implying absurdity."
"So, very delayed flight from Bristol to Edinburgh @user trademark vagueness from staff, with a chronic lack of empathy to boot (despite me travelling with three young children)... now, time to feed our family with £3 vouchers (at airport prices!) #bollocks",1,"The phrase 'chronic lack of empathy' contrasts with the expectation of support, highlighting frustration with the situation."
we need to normalise having absolutely fried bleach damaged hair. people should talk about this,1,"The phrase 'normalize' contrasts with the negative connotation of 'fried bleach damaged hair,' highlighting irony."
"Wizkid is the king, ok lol",1,"The phrase 'the king' is used ironically to downplay Wizkid's status, suggesting disbelief."
"Ah yes, it really is wood-burning stoves in sub-Saharan Africa thats driving the climate crisis :brain: http",1,"The phrase 'Ah yes' and the emoji indicate irony, contrasting the trivialization of a serious issue."
"Started watching house of cards, 4 episodes in. Already I can see it was a good choice :grinning_face_with_smiling_eyes:",1,"The phrase 'good choice' is used ironically, contrasting the negative implications of the show's content."
Social Care for the young is basically a bath board and bed rest and your done.,1,The phrase 'basically a bath board and bed rest' ironically minimizes the complexity of social care.
@user Very nice. We're now briefly up to date. Hopefully doesn't take you so long to do the English release of the new pixie after we get 9.10.,1,The phrase 'Very nice' is used ironically to express frustration about delays in updates.
JUSTICE HAS BEEN DONE.,1,The phrase 'JUSTICE HAS BEEN DONE' is used ironically to highlight a perceived injustice.
What a Race ! #WTF1 http,1,"The phrase 'What a Race!' is used ironically to express disappointment, contrasting with the excitement typically associated with racing."
help! i'm being haunted by dead people! (my dissertations),1,The phrase 'haunted by dead people' is used ironically to describe the stress of unfinished dissertations.
my neighbors taunting me outside my office window by chilling in their hot tub every remotely warm day whilst I sit here on back-to-back zooms all day every day. the audacity is astonishing.,1,The phrase 'the audacity is astonishing' ironically highlights the frustration of watching neighbors enjoy leisure while stuck working.
I've been doing physics for 40 minutes I think I deserve a break :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: :loudly_crying_face: I'm never going to get it all done at this rate,1,"The phrase 'I think I deserve a break' contrasts with the trivial effort of 40 minutes, highlighting irony."
Billy Gunn sorta relevant for the first time in years...,1,"The phrase 'sorta relevant' contrasts with the expectation of genuine relevance, implying the opposite."
wish i could understand string theory without knowing math..... alas i guess i am too hot for conceptual physics,1,The phrase 'too hot for conceptual physics' ironically contrasts the desire to understand with a humorous self-deprecation.
"So we actually have to do hot girl summer without 1989 Taylor’s version., I’m sick",1,"The phrase 'I’m sick' contrasts with the triviality of missing an album, highlighting exaggerated disappointment."
":hot_pepper: Spiced Coconut curry :coconut: . A weekend spent with friends brings a week of content... or something like that :winking_face_with_tongue: . Started the weekend off with this yummy morsel, With was a fusion of miso sesame aubergine :eggplant: , broccoli… http",1,The phrase 'week of content' is used ironically to contrast the chaotic reality of socializing.
considering crowd surfing the next time the hallways are too packed,1,The phrase 'crowd surfing' is used ironically to suggest an absurd solution to a frustrating situation.
Avoid mass gatherings.. does this mean that I can stay home tomorrow as I work at a school? No I thought not. #schoolclosure,1,The phrase 'Avoid mass gatherings' is ironically contrasted with the speaker's obligation to work at a school.
You know the wolves match is boring when you're talking with your mate about the best way to wire up his new shed!,1,"The phrase 'boring' contrasts with the expectation of excitement from a wolves match, highlighting disinterest."
What a wonderful time to have your AC go out http,1,The phrase 'wonderful time' is used ironically to highlight the inconvenience of the AC breaking.
@user Riveting news.,1,The phrase 'riveting news' is used ironically to suggest the opposite of excitement.
"My (extended) fam was discussing going on a trip instead of getting presents for Christmas, like okay I’m bout it... Yeah they were talking about doing to the dells. I’ll take my god damn presents thank you very much",1,"The phrase 'I'll take my god damn presents' contrasts the idea of skipping gifts, highlighting frustration."
okay but like the say so song ain’t that bad. I’m unironically jam to it lmao,1,"The phrase 'ain’t that bad' contrasts with the exaggerated enjoyment of 'unironically jam to it,' indicating sarcasm."
"if you see me crying in the self-service car wash in my rosati’s uniform, no you didn’t :red_heart:",1,"The phrase 'no you didn’t' contrasts the literal situation of crying, implying embarrassment and denial."
Tinnitus is my favourite thing ever I love it. So loud so atmospheric http,1,The phrase 'my favourite thing ever' is used ironically to express frustration with the unpleasantness of tinnitus.
thanks @user for ratting my location out on stream and then embarrassing me :face_with_tears_of_joy: it made my day though http,1,The phrase 'it made my day though' contrasts with the negative experience of being embarrassed.
love living in a capitalist society where i look forward to getting a surgery where i’m legit GETTING AN INTERNAL BODY PART REMOVED bc it means i’ll get a few days off from work xoxo,1,The phrase 'love living in a capitalist society' is used ironically to highlight the absurdity of valuing time off over health.
i love ingesting poison and then wondering why my tummy is rumbling the next morning,1,The phrase 'i love ingesting poison' is used ironically to highlight the absurdity of causing one's own discomfort.
Beautician and the Beast (1997). Best Timothy Dalton film of all time.,1,The phrase 'Best Timothy Dalton film of all time' is used ironically to mock the film's quality.
"@user Ahahahaha the Feeya I know and love, miss u :crying_face:",1,"The phrase 'the Feeya I know and love' contrasts with the mocking laughter, implying disappointment."
absolutely love waking up to the fire alarm at 7 am :smiling_face_with_heart-eyes:,1,The phrase 'absolutely love' is used ironically to express annoyance about the early fire alarm.
fully vaxxed feeling very girlboss,1,"The phrase 'very girlboss' ironically contrasts with the serious context of vaccination, suggesting a trivialization of health."
I feel like with the pandemic and all we should now be allowed to publicly shame babies for just like coughing into the open air you know what I mean,1,"The phrase 'publicly shame babies' contrasts the expected compassion for infants, highlighting absurdity in the context of the pandemic."
"Let me guess, it has to be Charlotte Tilbury makeup. And if by chance you do take it off, use Charlotte Tilbury skincare http",1,"The phrase 'let me guess' implies a sarcastic tone, contrasting expected novelty with the predictability of the brand."
The typhoon flew over me today absolutely fuming they forgot to bomb me,1,"The phrase 'absolutely fuming' contrasts with the absurdity of a typhoon having feelings, highlighting irony."
love getting assignments at 6:25pm on a Friday!!,1,The enthusiastic expression 'love getting assignments' contrasts with the negative context of receiving work late on a Friday.
Raging debate on the importance of an Orlando Magic Summer League Championship. Definitely a notch below 6 if decided by coin flip. http,1,"The phrase 'definitely a notch below 6' ironically downplays the significance of the championship, contrasting its triviality with a major event."
@user @user hot loli,1,The phrase 'hot loli' contrasts the inappropriate sexualization of a childlike character with a seemingly casual compliment.
Between Mikey cooking and Didi cooking for me I relaxing :smiling_face_with_sunglasses: cooking?? I don’t know her,1,"The phrase 'I don’t know her' contrasts with the implied expectation of familiarity, highlighting the absurdity of the situation."
Ah gotta love that Friday morning burnt out feeling :sunrise_over_mountains:,1,The phrase 'gotta love' is used ironically to express disdain for the unpleasant feeling of burnout.
@user Her family should definitely not seek mental health guidance. :grimacing_face:,1,"The phrase 'definitely not' contrasts with the implied need for mental health guidance, highlighting irony."
How I flirt with boys Boy: “Hey I saw you from across the room and had to come over” Me: “Wow you’re super observant. Do you have 20/20 vision?”,1,The phrase 'super observant' is used ironically to mock the boy's obvious approach.
Been trying to get my boyfriends attention. Let’s see how long it takes for him to see this tweet tho.,1,"The phrase 'let’s see how long it takes' implies frustration with his lack of attention, contrasting with the playful tone."
My work email isn’t working so I can just log off for the day right? :face_with_rolling_eyes:,1,The phrase 'log off for the day' is used ironically to highlight frustration with the email issue.
watching olympic womens beach volleyball for the plot,1,"The phrase 'for the plot' ironically suggests a deeper narrative interest, contrasting with the obvious visual appeal."
there’s no better way to wake up than having one dog jump directly on your stomach and knock the wind out of you while the other drop a dead rodent on the end of the bed. :expressionless_face:,1,The phrase 'no better way to wake up' is used ironically to highlight an unpleasant experience.
"cold ears? take out one AirPod, leave it by the stove, and forget about it for 20 minutes :smiling_face_with_open_hands:",1,The suggestion to leave an AirPod by the stove is ironically impractical for warming cold ears.
Do the #Hokies really have to play 5 against 6 tonight? Come on stripes,1,The phrase 'Come on stripes' sarcastically criticizes the referees for perceived unfairness in the matchup.
Fool me once shame on you. Fool me twice shame on me. Fool me multiple times I must have become a brexiter. #Brexit,1,"The phrase 'I must have become a brexiter' ironically suggests that repeated deception reflects poor judgment, contrasting with the initial blame."
"Lucky for 2nd placed Brentford that there's no stand out team like Leeds this year, or they might have no chance of winning the league. #ncfc",1,The phrase 'lucky for 2nd placed Brentford' ironically suggests they are fortunate despite their actual disadvantage.
how do I get my boyfriend in a maid costume?,1,"The question implies a humorous desire for an absurd situation, contrasting typical gender roles."
@user If only he had a press Corp in the house...oh wait! Shut up Jr! Time to get fitted for those lovely orange jumpsuits! If you can't be orange anymore at least you can wear it!!!,1,The phrase 'lovely orange jumpsuits' ironically contrasts with the serious implication of prison attire.
Wtf is a Justin Herbert,1,"The phrase 'Wtf is a Justin Herbert' implies ignorance, contrasting with the expectation of familiarity with a well-known athlete."
"""He's not welcome in a tolerant place like London"" @user on the Presidential visit on @user The irony in that comment... #r4bh",1,The phrase 'tolerant place' is used ironically to highlight the contrast with the actual sentiment towards the visit.
"I love it when drunk, inconsiderate flatmates come back and start climbing on the roof #istillhaveexams #tryingtosleep",1,The phrase 'I love it' is used ironically to express frustration about disruptive behavior.
thinking about quitting the path im on to become a college advisor so i can be wrong and do nothing for the rest of my life,1,"The phrase 'do nothing for the rest of my life' contrasts with the active role of a college advisor, highlighting irony."
2 busy working 2 care,1,"The phrase '2 busy working' ironically suggests indifference, contrasting with the expectation of concern."
Update: they’ve finally closed the campus which means I wasted my day going in and waiting on lectures :upside-down_face: http,1,"The phrase 'wasted my day' contrasts with the expectation of attending lectures, highlighting frustration."
STOP TREATING MARS LIKE A BACK-UP BOYFRIEND JUST FIX YOUR CURRENT RELATIONSHIP WITH EARTH BECAUSE YOU CAN'T LIVE HERE.,1,The phrase 'back-up boyfriend' ironically critiques the neglect of Earth while suggesting Mars is an unrealistic alternative.
I just don’t think it’s too much to have a perfect life with absolutely no problems :woman_shrugging_light_skin_tone:,1,The phrase 'perfect life with absolutely no problems' is exaggerated to mock unrealistic expectations.
The control button just fell off my laptop. How symbolic for my life.,1,The phrase 'how symbolic for my life' ironically contrasts a trivial event with deeper personal frustration.
"make it illegal to say/write ""Dems in disarray"" on account of it being stupid as fuck",1,"The phrase 'stupid as fuck' contrasts with the serious tone of making something illegal, highlighting irony."
a level tudor history can do one,1,"The phrase 'can do one' sarcastically implies that the subject is unhelpful, contrasting with the expectation of educational value."
Can't wait until I live to be 110 years old and I have people asking me how I've lived for such a long time so that I can make up some hyper-specific secret to longevity that people will inevitably follow,1,The exaggerated desire to live to 110 contrasts with the absurdity of fabricating a secret to longevity.
ugh I have to send an email??? how about I just quit!!!!!,1,The exaggerated response 'how about I just quit!!!!!' contrasts the minor inconvenience of sending an email.
"Day 3. Luggage arrived, thanks @user Non random Hungarian underwear. Talk delivered. Science sated. #metaxa http",1,"The phrase 'Non random Hungarian underwear' ironically highlights the absurdity of the situation, contrasting expected luggage contents."
went to check out the bios of the (exclusively) hipster dudes that work in a rival boutique goods store and found out they all traveled internationally during the pandemic :upside-down_face: :upside-down_face: :upside-down_face:,1,"The phrase 'traveled internationally during the pandemic' contrasts with the expectation of responsible behavior, highlighting irony."
So in other news I just held the door open for Bam Adebayo &amp; then I fell down the stairs &amp; I think I broke my finger.. ya I'm THAT smooth,1,The phrase 'ya I'm THAT smooth' ironically contrasts the act of holding the door with the clumsiness of falling.
I can't believe today is the last day we can be gay.,1,"The phrase 'last day we can be gay' contrasts with the reality of ongoing LGBTQ+ rights, implying absurdity."
did you actually fly on a plane if you didn’t post a picture of the view from your window?,1,"The rhetorical question implies that posting a picture is a prerequisite for genuine travel, highlighting absurdity."
"Seeing as Kanye West has a range of clothing with Gap, how about me and you do a collab @user",1,"The suggestion of a collaboration is ironic, contrasting Kanye's fame with the speaker's lack of recognition."
i love jumping on zoom meetings where everyone is talking about their kids &amp; i'm stuffing my face with taco bell,1,The phrase 'i love' contrasts with the speaker's embarrassment of eating alone while others share family stories.
it’s always the girls I don’t even know that wanna talk about me 24/7 :) I love my fans :),1,The phrase 'I love my fans' is used ironically to mock unwanted attention from strangers.
@user thx for the play by play,1,The phrase 'thx for the play by play' is used ironically to express annoyance at excessive detail.
who thinks me and sam should start a band called 'teeth at midnight' :tooth: :crescent_moon:,1,"The suggestion of starting a band is exaggeratedly whimsical, contrasting with the impracticality of the idea."
omg there’s a sheet of ice in front of my school. should I slip and fall?,1,The rhetorical question 'should I slip and fall?' contrasts the danger of ice with a sarcastic suggestion to embrace it.
I wish that grilled cheese helped you get that summer bod,1,The literal wish for grilled cheese to aid fitness contrasts with the reality that it is unhealthy.
I called out an insta post for fat shaming and am now being told that making fun of someone having no neck is “not making fun of someone’s appearance” !!! The more you know guys!,1,The phrase 'The more you know guys!' contrasts the serious issue of fat shaming with a sarcastic tone suggesting ignorance.
@user @user @user @user @user Finally someone is speaking up for the billionaires.,1,The phrase 'speaking up for the billionaires' is used ironically to highlight the absurdity of prioritizing their interests.
"@user @user Hasn't he opened a few new hospitals? Oh sorry, maybe it was a new first aid box.",1,"The phrase 'new first aid box' contrasts with the expectation of 'new hospitals,' highlighting the triviality of the achievement."
yeah your girl is fine but does she pass out while giving blood,1,"The phrase 'your girl is fine' contrasts with the absurdity of passing out, highlighting irony."
"I recovered a repressed memory today of working at @user in high school 13 years ago &amp; having to answer the phone as “we go all out at Kum &amp; Go, this is Shelby. How can I help you?” And the prank calls that led to. Pretty sure K&amp;G owe me therapy.",1,The phrase 'owe me therapy' contrasts the triviality of prank calls with the serious implication of needing therapy.
Accidentally made a friend in ASL today. I hate when that happens.,1,The phrase 'I hate when that happens' contrasts with the positive experience of making a friend.
"@user Few links for you. To summarise, wearing face masks seems to be more effective than not. Who'da thunk...",1,The phrase 'Who'da thunk...' ironically highlights the obviousness of the statement about face masks.
Kind of rude of my stomach to still make whale noises after I’ve given it a whole protein bar,1,The phrase 'kind of rude' ironically contrasts the expectation of satisfaction after eating with ongoing hunger.
Because of #Trump I now don't have to worry about other countries making fun of me for being fat! :doughnut: :chocolate_bar: :shortcake: :pizza: #Thankstotrump #America,1,"The phrase 'don't have to worry' contrasts with the reality of feeling mocked, using irony to highlight absurdity."
Overthinking everything in life really takes a toll on you,1,The phrase 'really takes a toll' contrasts the triviality of overthinking with its exaggerated negative impact.
Man I just love it when I'm forced to pitch two games back to back bc our other pitcher didn't show up,1,The phrase 'I just love it' is used ironically to express frustration about an inconvenient situation.
I’ve seen a lot of people on local Facebook groups asking AirBnB owners if they have any availability recently. If only there was a website you could use to find out if an AirBnB was available :thinking_face:,1,The phrase 'If only there was a website' ironically highlights the obviousness of using existing platforms to check availability.
@user But what were the ratings?? (Replied to his Tweet with the same thing.),1,"The rhetorical question 'But what were the ratings??' implies a lack of genuine interest, highlighting the absurdity of the situation."
dont you love it when youre just chilling in your room and then theres a spider and you kill it but when you kill it you spill soda all over your keyboard yeah me too,1,The phrase 'dont you love it' is used ironically to express frustration over an unfortunate incident.
@user I think it should be allowed for customer service workers to squirt water into their face like how they do sometimes to train pets,1,"The comparison of customer service training to pet training highlights absurdity, contrasting expected professionalism with a ridiculous suggestion."
Taxes are just the best and I cannot wait to pay more :smiling_face_with_halo: :smiling_face_with_hearts: :pleading_face:,1,The phrase 'just the best' is used ironically to express disdain for paying taxes.
"Goodness my parents are actually watching something on Apple TV+, brilliant, yet another streaming service! :sleepy_face:",1,"The phrase 'brilliant, yet another streaming service' contrasts genuine praise with annoyance at the oversaturation of options."
alright I’m ready for some march madness :basketball: :fire:,1,"The phrase 'ready for some march madness' contrasts with the speaker's lack of enthusiasm, indicated by the emojis."
I still can’t believe England won the World Cup,1,The disbelief expressed contrasts with the expectation that England winning is a significant achievement.
dont u just love when u get ready for a cancelled date two hours early . . . yeah i wasnt excited or anything,1,The phrase 'dont u just love' is used ironically to express frustration about the cancelled date.
wouldn’t it be cool if i could spontaneously combust,1,The phrase 'wouldn’t it be cool' ironically contrasts the absurdity of spontaneous combustion with a desire for excitement.
Efy is great,1,"The literal praise 'great' contrasts with the implied negative sentiment, suggesting insincerity."
@user @user you’re trash,1,"The term 'trash' is used ironically to express strong disdain, contrasting with any positive expectations of the users."
cold queso is so much better than warm queso http,1,"The phrase 'so much better' contrasts the expected preference for warm queso, highlighting irony."
Wow it's almost as if it's their literal job to have a lot of knowledge about a wide array of subjects.. Funny that http,1,The phrase 'it's their literal job' is used ironically to highlight the absurdity of expecting expertise.
It’s really very selfish of Silverstone to be saying the 2022 Grand Prix is 1/7-3/7 cause my holiday year starts on 1/7 and I would have to use a day of this years holiday allowance to go. I should have been consulted really :face_with_spiral_eyes: :face_with_spiral_eyes: :face_with_spiral_eyes:,1,The phrase 'really very selfish' is used ironically to highlight the absurdity of expecting consultation over a scheduling conflict.
"""are you experiencing suicidal or homicidal ideation?"" ""only while trying to talk to a human when I call @user pharmacy""",1,The phrase 'only while trying to talk to a human' ironically contrasts the serious nature of the question with a trivial frustration.
Just getting some WD40 on my letter box to help the poor postman with his delivery today #valentinesday2021 #WD40,1,"The phrase 'help the poor postman' contrasts with the trivial act of using WD40, implying it's unnecessary."
"I’m sorry, but if you message me on Instagram wanting me to help you sell your fit tea and wraps, I’m leaving you on read. :upside-down_face:",1,"The phrase 'I’m leaving you on read' contrasts with the expectation of helping, highlighting disdain for the request."
wow i love only ever buying gray and striped shirts,1,The phrase 'i love' contrasts with the implied frustration of limited clothing options.
no more instagram. we must all return to scrapbooks.,1,"The literal suggestion to return to scrapbooks contrasts with the modern preference for Instagram, highlighting absurdity."
"Thank you twitter for deciding to completely reset your list of the ""suggested topics to follow"" I've clicked to ignore (all of them), so now I'm back to seeing hundreds of them, every time. Really appreciate you doing that.",1,The phrase 'Really appreciate you doing that' is used ironically to express frustration over unwanted suggestions.
Thank god I just accidentally snapped a rando guy from high school ‘yas queen’ with acne cream all over my face,1,The phrase 'thank god' contrasts with the embarrassment of sending an unflattering selfie.
"I hurt my foot like 3 days ago, I have no idea how, but it hurts to put pressure on it. Love that for me",1,The phrase 'Love that for me' is used ironically to express frustration about the injury.
"me: trying to sleep slightly earlier than usual bc I feel like shit my friend, texting the group chat 13 separate times at nearly 4am: hello I don’t think so! how abt I tell u abt how bad things are going instead :)",1,The phrase 'hello I don’t think so!' contrasts the intention to sleep with the friend's disruptive behavior.
Thank you to my apartment complex for consistently cutting the grass at 8 am every Thursday for ~5 hours. It’s definitely not super obnoxious or bothersome :smiling_face: :smiling_face:,1,The phrase 'definitely not super obnoxious or bothersome' uses irony to highlight annoyance with the early lawn maintenance.
"5:30 banshee-like kitten zoomies are definitely my all-time favorite alarm clock, and the sound of jewelry boxes flipping over and burnouts on the wood floor make for the calmest, most enjoyable start to any workday.",1,The exaggerated praise for chaotic kitten behavior contrasts with the stressful reality of waking up.
